"","Countries.or.areas","CTotal_Occurences","HTotal_Occurences","GTotal_Occurences","MTotal_Occurences","Total_Occurences"
"17","China",46,308,135,276,765
"75","United States of America",102,149,19,459,729
"34","India",20,249,16,146,431
"55","Philippines",11,145,43,217,416
"35","Indonesia",20,207,113,5,345
"8","Bangladesh",7,71,7,129,214
"43","Mexico",12,61,26,99,198
"38","Japan",2,35,38,119,194
"6","Australia",52,47,1,72,172
"51","Pakistan",2,101,24,34,161
"1","Afghanistan",8,108,26,15,157
"58","Russian Federation",29,74,10,42,155
"12","Brazil",22,107,1,14,144
"36","Iran (Islamic Republic of)",3,64,66,10,143
"27","France",17,43,1,72,133
"18","Colombia",5,91,25,5,126
"69","Thailand",13,71,4,34,122
"54","Peru",10,57,26,14,107
"37","Italy",11,41,19,28,99
"72","Turkey",5,40,35,14,94
"31","Haiti",9,44,2,34,89
"4","Argentina",8,50,5,23,86
"64","South Africa",21,33,4,28,86
"57","Romania",2,48,3,30,83
"30","Guatemala",9,36,18,19,82
"47","Nepal",9,54,4,11,78
"66","Sri Lanka",11,60,1,6,78
"16","Chile",15,29,16,16,76
"56","Republic of Korea",6,25,2,39,72
"65","Spain",21,22,2,26,71
"11","Bolivia (Plurinational State of)",18,39,3,7,67
"29","Greece",15,24,17,11,67
"45","Mozambique",14,32,1,20,67
"68","Tajikistan",2,44,12,5,63
"42","Malaysia",6,46,3,7,62
"74","United Republic of Tanzania",11,39,6,6,62
"63","Somalia",16,37,1,6,60
"32","Honduras",13,29,2,15,59
"53","Papua New Guinea",4,23,25,6,58
"3","Algeria",3,39,9,6,57
"22","Cuba",9,19,1,28,57
"24","Dominican Republic",4,25,1,27,57
"49","Nicaragua",9,19,9,19,56
"46","Myanmar",2,37,7,9,55
"20","Costa Rica",7,25,13,8,53
"23","Democratic Republic of the Congo",5,36,6,5,52
"41","Malawi",8,37,2,3,50
"73","Uganda",9,33,4,4,50
"67","Sudan",10,34,2,3,49
"9","Belgium",1,13,1,32,47
"25","El Salvador",7,15,8,15,45
"13","Bulgaria",6,20,3,14,43
"14","Burundi",6,29,1,6,42
"52","Panama",5,29,4,4,42
"48","New Zealand",3,18,7,12,40
"44","Morocco",5,22,1,10,38
"76","Venezuela (Bolivarian Republic of)",1,30,1,3,35
"26","Fiji",3,9,2,20,34
"33","Hungary",3,15,1,12,31
"59","Rwanda",6,21,2,2,31
"2","Albania",2,15,5,6,28
"21","Croatia",7,12,1,8,28
"40","Kyrgyzstan",1,13,9,4,27
"28","Georgia",1,16,4,3,24
"50","North Macedonia",3,11,1,7,22
"62","Solomon Islands",3,5,4,10,22
"39","Kazakhstan",1,14,1,4,20
"7","Azerbaijan",1,8,5,1,15
"15","Cabo Verde",10,1,2,1,14
"19","Comoros",1,2,5,4,12
"60","Saint Lucia",1,3,1,6,11
"71","Trinidad and Tobago",1,4,2,4,11
"5","Armenia",1,4,1,4,10
"61","Samoa",2,1,1,6,10
"70","Timor-Leste",2,5,1,1,9
"10","Bhutan",1,3,2,2,8
